,State,Year,Population,Household Income by Race,Poverty Rate,Dem Margin,Property Value,Median Age,state,state_flag_url,state_seal_url,map_image_url,landscape_background_url,skyline_background_url,twitter_url,governor_name,num_representatives,senator1,senator2,chronically_homeless,diabetes_prevalence
12,Illinois,2018,12741080,65030,0.1212512365160202,0.1706361362496802,203400,38.3,Illinois,https://cdn.civil.services/us-states/flags/illinois-large.png,https://cdn.civil.services/us-states/seals/illinois-large.png,https://cdn.civil.services/us-states/maps/illinois-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/illinois.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/illinois.jpg,,J.B. Pritzker,18,Tammy Duckworth,Richard J. Durbin,391,0.0860000029206276
13,Indiana,2018,6691878,55746,0.1313921569805868,-0.1916519376165923,147300,37.8,Indiana,https://cdn.civil.services/us-states/flags/indiana-large.png,https://cdn.civil.services/us-states/seals/indiana-large.png,https://cdn.civil.services/us-states/maps/indiana-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/indiana.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/indiana.jpg,https://twitter.com/in_gov,Eric J. Holcomb,9,Mike Braun,Todd Young,1355,0.09300000220537186
14,Iowa,2018,3156145,59955,0.1124053850551336,-0.0940954789918113,152000,38.1,Iowa,https://cdn.civil.services/us-states/flags/iowa-large.png,https://cdn.civil.services/us-states/seals/iowa-large.png,https://cdn.civil.services/us-states/maps/iowa-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/iowa.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/iowa.jpg,https://twitter.com/IAGOVTWEETS,Kim Reynolds,4,Chuck Grassley,Joni Ernst,486,0.11100000143051147
15,Kansas,2018,2911510,58218,0.1196791568755131,-0.2060221107360508,159400,37.1,Kansas,https://cdn.civil.services/us-states/flags/kansas-large.png,https://cdn.civil.services/us-states/seals/kansas-large.png,https://cdn.civil.services/us-states/maps/kansas-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/kansas.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/kansas.jpg,http://www.twitter.com/ksgovernment,Laura Kelly,4,Roger Marshall,Jerry Moran,170,0.0949999988079071
16,Kentucky,2018,4468402,50247,0.1688295208035494,-0.2983745021825233,148100,39.1,Kentucky,https://cdn.civil.services/us-states/flags/kentucky-large.png,https://cdn.civil.services/us-states/seals/kentucky-large.png,https://cdn.civil.services/us-states/maps/kentucky-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/kentucky.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/kentucky.jpg,https://twitter.com/kygov,Andy Beshear,6,Mitch McConnell,Rand Paul,252,0.0989999994635582
17,Louisiana,2018,4659978,47905,0.1862708731321599,-0.1963911855505483,167300,37.3,Louisiana,https://cdn.civil.services/us-states/flags/louisiana-large.png,https://cdn.civil.services/us-states/seals/louisiana-large.png,https://cdn.civil.services/us-states/maps/louisiana-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/louisiana.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/louisiana.jpg,,John Bel Edwards,6,John Kennedy,Bill Cassidy,383,0.12800000607967377
18,Maine,2018,1338404,55602,0.1163962115026717,0.0286853601281008,197500,45.1,Maine,https://cdn.civil.services/us-states/flags/maine-large.png,https://cdn.civil.services/us-states/seals/maine-large.png,https://cdn.civil.services/us-states/maps/maine-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/maine.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/maine.jpg,https://twitter.com/mainegov_news,Janet Mills,2,Susan M. Collins,Angus S. King Jr.,609,0.12099999934434891
19,Maryland,2018,6042718,83242,0.089528678761162,0.264164395066451,324800,38.8,Maryland,https://cdn.civil.services/us-states/flags/maryland-large.png,https://cdn.civil.services/us-states/seals/maryland-large.png,https://cdn.civil.services/us-states/maps/maryland-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/maryland.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/maryland.jpg,https://twitter.com/statemaryland,Larry Hogan,8,Benjamin L. Cardin,Chris Van Hollen,189,0.0989999994635582
20,Massachusetts,2018,6902149,79835,0.0996113626792044,0.2676386230581614,400700,39.5,Massachusetts,https://cdn.civil.services/us-states/flags/massachusetts-large.png,https://cdn.civil.services/us-states/seals/massachusetts-large.png,https://cdn.civil.services/us-states/maps/massachusetts-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/massachusetts.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/massachusetts.jpg,http://twitter.com/massgov,Charlie Baker,9,Edward J. Markey,Elizabeth Warren,1436,0.10400000214576721
21,Michigan,2018,9995915,56697,0.1405086532562918,-0.002230332691293,162500,39.8,Michigan,https://cdn.civil.services/us-states/flags/michigan-large.png,https://cdn.civil.services/us-states/seals/michigan-large.png,https://cdn.civil.services/us-states/maps/michigan-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/michigan.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/michigan.jpg,https://twitter.com/migov,Gretchen Whitmer,14,Debbie Stabenow,Gary Peters,1238,0.09300000220537186
